ID#,Marca,Modelo,Versión,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
1,Abarth,595,1.4T-Jet 107kW,145,3.0,Gasolina,ambar,20934.0,Tracción delantera,Manual ,155.0,583.3,6.0,0.0,1368.0,35.0,5,205.0,7.9,5500.0,206.0,Berlina ,1110.0,3660.0,1627.0,1480.0
2,Abarth,595,C 1.4T-Jet 107kW,145,2.0,Gasolina,ambar,22834.0,Tracción delantera,Manual ,156.0,583.3,6.0,0.0,1368.0,35.0,5,205.0,7.9,5500.0,206.0,Convertible ,1150.0,3660.0,1627.0,1480.0
3,Abarth,595,1.4T-Jet Pista 121kW,165,3.0,Gasolina,ambar,23934.0,Tracción delantera,Manual ,157.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Berlina ,1110.0,3660.0,1627.0,1485.0
4,Abarth,595,C 1.4T-Jet Pista 121kW,165,2.0,Gasolina,ambar,25834.0,Tracción delantera,Manual ,158.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Convertible ,1150.0,3660.0,1627.0,1485.0
5,Abarth,595,1.4T-Jet Pista Aut. 121kW,165,3.0,Gasolina,ambar,25884.0,Tracción delantera,Automática secuencial ,157.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Berlina ,1110.0,3660.0,1627.0,1485.0
6,Abarth,595,1.4T-Jet Turismo 121kW,165,3.0,Gasolina,ambar,26234.0,Tracción delantera,Manual ,157.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Berlina ,1110.0,3660.0,1627.0,1485.0
7,Abarth,595,C 1.4T-Jet Pista Aut. 121kW,165,2.0,Gasolina,ambar,27784.0,Tracción delantera,Automática secuencial ,158.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Convertible ,1150.0,3660.0,1627.0,1485.0
8,Abarth,595,C 1.4T-Jet Turismo 121kW,165,2.0,Gasolina,ambar,28134.0,Tracción delantera,Manual ,158.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Convertible ,1150.0,3660.0,1627.0,1485.0
9,Abarth,595,1.4T-Jet Turismo Aut. 121kW,165,3.0,Gasolina,ambar,28184.0,Tracción delantera,Automática secuencial ,157.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Berlina ,1110.0,3660.0,1627.0,1485.0
10,Abarth,595,1.4T-Jet Competizione 132kW,180,3.0,Gasolina,ambar,28934.0,Tracción delantera,Manual ,158.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1110.0,3660.0,1627.0,1485.0
11,Abarth,595,C 1.4T-Jet Turismo Aut. 121kW,165,2.0,Gasolina,ambar,30084.0,Tracción delantera,Automática secuencial ,158.0,583.3,6.0,0.0,1368.0,35.0,5,210.0,7.4,5500.0,230.0,Convertible ,1150.0,3660.0,1627.0,1485.0
12,Abarth,595,C 1.4T-Jet Competizione 132kW,180,2.0,Gasolina,ambar,30834.0,Tracción delantera,Manual ,159.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Convertible ,1150.0,3660.0,1627.0,1485.0
13,Abarth,595,1.4T-Jet Competizione Aut. 1...,180,3.0,Gasolina,ambar,30884.0,Tracción delantera,Automática secuencial ,158.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1110.0,3660.0,1627.0,1485.0
14,Abarth,595,1.4T-Jet Esseesse 132kW,180,3.0,Gasolina,ambar,31534.0,Tracción delantera,Manual ,158.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1110.0,3660.0,1627.0,1485.0
15,Abarth,595,C 1.4T-Jet Competizione Aut. ...,180,2.0,Gasolina,ambar,32784.0,Tracción delantera,Automática secuencial ,159.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Convertible ,1150.0,3660.0,1627.0,1485.0
16,Abarth,595,C 1.4T-Jet Esseesse 132kW,180,2.0,Gasolina,ambar,33434.0,Tracción delantera,Manual ,159.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Convertible ,1150.0,3660.0,1627.0,1485.0
17,Abarth,595,1.4T-Jet Esseesse Aut. 132kW,180,3.0,Gasolina,ambar,33484.0,Tracción delantera,Automática secuencial ,158.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1110.0,3660.0,1627.0,1485.0
18,Abarth,595,695 1.4T-Jet 70 Aniversario 132kW,180,3.0,Gasolina,ambar,34534.0,Tracción delantera,Manual ,155.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1045.0,3660.0,1627.0,1485.0
19,Abarth,595,C 1.4T-Jet Esseesse Aut. 132kW,180,2.0,Gasolina,ambar,35384.0,Tracción delantera,Automática secuencial ,159.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Convertible ,1150.0,3660.0,1627.0,1485.0
20,Abarth,595,695 1.4T-Jet 70 Aniversario Aut....,180,3.0,Gasolina,ambar,36484.0,Tracción delantera,Automática secuencial ,155.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,Berlina ,1045.0,3660.0,1627.0,1485.0
21,Alfa Romeo,Giulia,2.2 Diesel Super Aut. 160,160,4.0,Diésel,ambar,34075.0,Tracción trasera,Automática secuencial ,126.0,1106.4,4.7,24.0,2143.0,52.0,8,220.0,8.2,3250.0,450.0,Berlina ,1465.0,4643.0,1860.0,1438.0
22,Alfa Romeo,Giulia,2.0 Super Aut. 200,200,4.0,Gasolina,ambar,34954.0,Tracción trasera,Automática secuencial ,144.0,906.3,6.4,24.0,1995.0,58.0,8,230.0,6.6,4500.0,330.0,Berlina ,1429.0,4643.0,1860.0,1438.0
