ID#,Marca,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
1,Abarth,-0.33948919707615277,3.0,Gasolina,ambar,-0.5896275367512454,Tracción delantera,Manual ,0.3892161574143948,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.1414172849836895,-0.6771320509427664,1.0099001545010065,-0.8984592933864531,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6800349138313019
2,Abarth,-0.33948919707615277,2.0,Gasolina,ambar,-0.5268306502357987,Tracción delantera,Manual ,0.4105593284634181,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.1414172849836895,-0.6771320509427664,1.0099001545010065,-0.8984592933864531,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6800349138313019
3,Abarth,-0.1267849133789419,3.0,Gasolina,ambar,-0.49047455804264534,Tracción delantera,Manual ,0.4319024995124413,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
4,Abarth,-0.1267849133789419,2.0,Gasolina,ambar,-0.42767767152719866,Tracción delantera,Manual ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
5,Abarth,-0.1267849133789419,3.0,Gasolina,ambar,-0.42602512188205527,Tracción delantera,Automática secuencial ,0.4319024995124413,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
6,Abarth,-0.1267849133789419,3.0,Gasolina,ambar,-0.41445727436605195,Tracción delantera,Manual ,0.4319024995124413,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
7,Abarth,-0.1267849133789419,2.0,Gasolina,ambar,-0.3632282353666086,Tracción delantera,Automática secuencial ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
8,Abarth,-0.1267849133789419,2.0,Gasolina,ambar,-0.35166038785060527,Tracción delantera,Manual ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
9,Abarth,-0.1267849133789419,3.0,Gasolina,ambar,-0.35000783820546194,Tracción delantera,Automática secuencial ,0.4319024995124413,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
10,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.3252195935283119,Tracción delantera,Manual ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
11,Abarth,-0.1267849133789419,2.0,Gasolina,ambar,-0.2872109516900152,Tracción delantera,Automática secuencial ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.29927168303305174,-0.8734111498654427,1.0099001545010065,-0.7210128226827585,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
12,Abarth,0.03274329939396622,2.0,Gasolina,ambar,-0.2624227070128652,Tracción delantera,Manual ,0.47458884161048775,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
13,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.26077015736772186,Tracción delantera,Automática secuencial ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
14,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.23928701198085853,Tracción delantera,Manual ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
15,Abarth,0.03274329939396622,2.0,Gasolina,ambar,-0.19797327085227517,Tracción delantera,Automática secuencial ,0.47458884161048775,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
16,Abarth,0.03274329939396622,2.0,Gasolina,ambar,-0.17649012546541182,Tracción delantera,Manual ,0.47458884161048775,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
17,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.1748375758202685,Tracción delantera,Automática secuencial ,0.45324567056146453,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.508067111232827,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
18,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.14013403327225846,Tracción delantera,Manual ,0.3892161574143948,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.701902826887802,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
19,Abarth,0.03274329939396622,2.0,Gasolina,ambar,-0.11204068930482178,Tracción delantera,Automática secuencial ,0.47458884161048775,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Convertible ,-1.3887835939066886,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
20,Abarth,0.03274329939396622,3.0,Gasolina,ambar,-0.07568459711166842,Tracción delantera,Automática secuencial ,0.3892161574143948,-1.3471039347746305,0.21836490699242941,0.0,-0.6946832644634804,-1.8567896501838497,-0.9532167741953288,0.7728348771811384,-1.1482018883571894,1.0099001545010065,-0.5731407637630128,Berlina ,-1.701902826887802,-2.1086056202850267,-2.465565329476608,-0.6617420294513562
21,Alfa Romeo,-0.17996098430324464,4.0,Diésel,ambar,-0.15530443901467428,Tracción trasera,Automática secuencial ,-0.22973580300727905,-0.05738198162768634,-0.4413334582111363,24.0,0.41070770837794535,-0.6179944129683745,0.9538199995935034,0.6149804791317761,-0.5593645915891611,-1.2618118198339585,0.9055798254344435,Berlina ,-0.44942589496334867,-0.07501859074444743,-0.16361870617344806,-0.8336951426228456
22,Alfa Romeo,0.24544758309117706,4.0,Gasolina,ambar,-0.12625261625305445,Tracción trasera,Automática secuencial ,0.1544412758751392,-0.5507357625963417,0.42134901936275754,24.0,0.1996136903385505,-0.18077256453938337,0.9538199995935034,0.9306892752305006,-1.1874577081417248,0.00025038812991090825,0.0183474719159697,Berlina ,-0.5567810605568733,-0.07501859074444743,-0.16361870617344806,-0.8336951426228456
23,Alfa Romeo,0.24544758309117706,4.0,Gasolina,ambar,0.020625996207285103,Tracción trasera,Automática secuencial ,0.1544412758751392,-0.5507357625963417,0.42134901936275754,24.0,0.1996136903385505,-0.18077256453938337,0.9538199995935034,0.9306892752305006,-1.1874577081417248,0.00025038812991090825,0.0183474719159697,Berlina ,-0.5567810605568733,-0.07501859074444743,-0.16361870617344806,-0.8336951426228456
24,Alfa Romeo,0.13909544124257164,4.0,Diésel,ambar,0.035168433084546445,Tracción trasera,Automática secuencial ,-0.20839263195825583,0.0017908856549109721,-0.4920794863037185,24.0,0.41070770837794535,-0.6179944129683745,0.9538199995935034,0.9306892752305006,-0.9911786092190487,-1.0093993782411845,0.9055798254344435,Berlina ,-0.44942589496334867,-0.07501859074444743,-0.16361870617344806,-0.8336951426228456
25,Alfa Romeo,0.3517997249397825,4.0,Diésel,ambar,0.2269963958927847,Tracción total,Automática secuencial ,0.005039078531976549,-0.31971502658053463,-0.18760331774822636,24.0,0.41070770837794535,-0.6179944129683745,0.9538199995935034,1.0885436732798628,-1.1089460685726542,-1.0093993782411845,1.0534518843541891,Berlina ,-0.22576929997683917,-0.07501859074444743,-0.16361870617344806,-0.8336951426228456
26,Alfa Romeo,1.0962647178800204,4.0,Gasolina,ambar,0.30959082715704855,Tracción total,Automática secuencial ,0.3678729863653716,-0.7127214867824517,0.6750791598256675,24.0,0.1996136903385505,-0.18077256453938337,0.9538199995935034,1.246398071329225,-1.737039185125218,0.7574877129082325,0.5358996781350794,Berlina ,-0.2555901793083738,-0.060537299588003836,-0.16361870617344806,-0.8336951426228456
28,Alfa Romeo,-0.6053695516976664,5.0,Gasolina,ambar,-0.688383903545011,Tracción delantera,Manual ,0.47458884161048775,-0.7307199005809085,0.8273172441034133,24.0,-0.6946832644634804,-0.03503194839638631,-0.3175378495990514,-0.17429151111503494,-0.08829475417473778,0.5050752713154586,-0.8319168668725676,Berlina ,-1.0011121625967387,-0.6790953075560945,-0.7761538591554048,-0.734913566971139
29,Alfa Romeo,-0.6053695516976664,5.0,Diésel,verde,-0.47401516357701773,Tracción delantera,Manual ,-0.400481171399465,0.36225226885139916,-0.4413334582111363,24.0,-0.3666317499427992,-0.03503194839638631,-0.3175378495990514,-0.17429151111503494,0.14724016453247354,-0.7569869366484107,-0.055588557543903114,Berlina ,-0.6730824899498582,-0.6790953075560945,-0.7761538591554048,-0.734913566971139
30,Alfa Romeo,-0.17996098430324464,5.0,Diésel,ambar,-0.10381099207200797,Tracción trasera,Automática secuencial ,0.026382249580999786,-0.035192156396712346,-0.18760331774822636,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,-0.07957887228541762,-0.3238296728819491,-0.7569869366484107,0.9055798254344435,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.25132446197561936,-0.12393122868095326
31,Alfa Romeo,-0.17996098430324464,5.0,Diésel,ambar,0.02125396507243957,Tracción trasera,Automática secuencial ,0.026382249580999786,-0.035192156396712346,-0.18760331774822636,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,-0.07957887228541762,-0.3238296728819491,-0.7569869366484107,0.9055798254344435,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.25132446197561936,-0.12393122868095326
32,Alfa Romeo,0.24544758309117706,5.0,Gasolina,ambar,0.02462516634853197,Tracción total,Automática secuencial ,0.49593201265951103,-0.5310114735021426,0.7258251879182492,0.0,0.1996136903385505,0.2564492838896078,0.9538199995935034,0.4571260810824139,-0.9519227894345131,0.00025038812991090825,0.0183474719159697,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.26120406121726386,-0.12393122868095326
