ID#,BRAND,MODEL,VERSION1,POTENCIA1 (cv),PUERTAS,COMBUSTIBLE,CO2,PRECIO,Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
1,Abarth,Abarth - 595,Abarth 595 1.4T-Jet 107kW,145,3,Gasolina,ambar,"20,934 €",Tracción delantera ,Manual ,155,583.3,6,0,1368,35,5,205,7.9,5500,206,Berlina ,1110,3660,1627,1480
2,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet 107kW,145,2,Gasolina,ambar,"22,834 €",Tracción delantera ,Manual ,156,583.3,6,0,1368,35,5,205,7.9,5500,206,Convertible ,1150,3660,1627,1480
3,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Pista 121kW,165,3,Gasolina,ambar,"23,934 €",Tracción delantera ,Manual ,157,583.3,6,0,1368,35,5,210,7.4,5500,230,Berlina ,1110,3660,1627,1485
4,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Pista 121kW,165,2,Gasolina,ambar,"25,834 €",Tracción delantera ,Manual ,158,583.3,6,0,1368,35,5,210,7.4,5500,230,Convertible ,1150,3660,1627,1485
5,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Pista Aut. 121kW,165,3,Gasolina,ambar,"25,884 €",Tracción delantera ,Automática secuencial ,157,583.3,6,0,1368,35,5,210,7.4,5500,230,Berlina ,1110,3660,1627,1485
6,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Turismo 121kW,165,3,Gasolina,ambar,"26,234 €",Tracción delantera ,Manual ,157,583.3,6,0,1368,35,5,210,7.4,5500,230,Berlina ,1110,3660,1627,1485
7,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Pista Aut. 121kW,165,2,Gasolina,ambar,"27,784 €",Tracción delantera ,Automática secuencial ,158,583.3,6,0,1368,35,5,210,7.4,5500,230,Convertible ,1150,3660,1627,1485
8,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Turismo 121kW,165,2,Gasolina,ambar,"28,134 €",Tracción delantera ,Manual ,158,583.3,6,0,1368,35,5,210,7.4,5500,230,Convertible ,1150,3660,1627,1485
9,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Turismo Aut. 121kW,165,3,Gasolina,ambar,"28,184 €",Tracción delantera ,Automática secuencial ,157,583.3,6,0,1368,35,5,210,7.4,5500,230,Berlina ,1110,3660,1627,1485
10,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Competizione 132kW,180,3,Gasolina,ambar,"28,934 €",Tracción delantera ,Manual ,158,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1110,3660,1627,1485
11,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Turismo Aut. 121kW,165,2,Gasolina,ambar,"30,084 €",Tracción delantera ,Automática secuencial ,158,583.3,6,0,1368,35,5,210,7.4,5500,230,Convertible ,1150,3660,1627,1485
12,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Competizione 132kW,180,2,Gasolina,ambar,"30,834 €",Tracción delantera ,Manual ,159,583.3,6,0,1368,35,5,225,6.7,5500,250,Convertible ,1150,3660,1627,1485
13,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Competizione Aut. 1...,180,3,Gasolina,ambar,"30,884 €",Tracción delantera ,Automática secuencial ,158,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1110,3660,1627,1485
14,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Esseesse 132kW,180,3,Gasolina,ambar,"31,534 €",Tracción delantera ,Manual ,158,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1110,3660,1627,1485
15,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Competizione Aut. ...,180,2,Gasolina,ambar,"32,784 €",Tracción delantera ,Automática secuencial ,159,583.3,6,0,1368,35,5,225,6.7,5500,250,Convertible ,1150,3660,1627,1485
16,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Esseesse 132kW,180,2,Gasolina,ambar,"33,434 €",Tracción delantera ,Manual ,159,583.3,6,0,1368,35,5,225,6.7,5500,250,Convertible ,1150,3660,1627,1485
17,Abarth,Abarth - 595,Abarth 595 1.4T-Jet Esseesse Aut. 132kW,180,3,Gasolina,ambar,"33,484 €",Tracción delantera ,Automática secuencial ,158,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1110,3660,1627,1485
18,Abarth,Abarth - 595,Abarth 695 1.4T-Jet 70 Aniversario 132kW,180,3,Gasolina,ambar,"34,534 €",Tracción delantera ,Manual ,155,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1045,3660,1627,1485
19,Abarth,Abarth - 595,Abarth 595C 1.4T-Jet Esseesse Aut. 132kW,180,2,Gasolina,ambar,"35,384 €",Tracción delantera ,Automática secuencial ,159,583.3,6,0,1368,35,5,225,6.7,5500,250,Convertible ,1150,3660,1627,1485
20,Abarth,Abarth - 595,Abarth 695 1.4T-Jet 70 Aniversario Aut....,180,3,Gasolina,ambar,"36,484 €",Tracción delantera ,Automática secuencial ,155,583.3,6,0,1368,35,5,225,6.7,5500,250,Berlina ,1045,3660,1627,1485
21,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.2 Diesel Super Aut. 160,160,4,Diesel,ambar,"34,075 €",Tracción trasera ,Automática secuencial ,126,1106.4,4.7,24,2143,52,8,220,8.2,3250,450,Berlina ,1465,4643,1860,1438
22,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.0 Super Aut. 200,200,4,Gasolina,ambar,"34,954 €",Tracción trasera ,Automática secuencial ,144,906.3,6.4,24,1995,58,8,230,6.6,4500,330,Berlina ,1429,4643,1860,1438
23,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.0 Spring Aut. 200,200,4,Gasolina,ambar,"39,398 €",Tracción trasera ,Automática secuencial ,144,906.3,6.4,24,1995,58,8,230,6.6,4500,330,Berlina ,1429,4643,1860,1438
24,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.2 Diesel Spring Aut. 190,190,4,Diesel,ambar,"39,838 €",Tracción trasera ,Automática secuencial ,127,1130.4,4.6,24,2143,52,8,230,7.1,3500,450,Berlina ,1465,4643,1860,1438
25,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.2 Diesel Veloce ATX 210,210,4,Diesel,ambar,"45,642 €",Tracción total permanente ,Automática secuencial ,137,1000,5.2,24,2143,52,8,235,6.8,3500,470,Berlina ,1540,4643,1860,1438
26,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.0 GME Veloce ATX 280,280,4,Gasolina,ambar,"48,141 €",Tracción total permanente ,Automática secuencial ,154,840.6,6.9,24,1995,58,8,240,5.2,5250,400,Berlina ,1530,4650,1860,1438
27,Alfa Romeo,Alfa romeo - Giulia,Giulia 2.9 T Quadrifoglio Aut. 510,510,4,Gasolina,gris,"97,499 €",Tracción trasera ,Automática secuencial ,206,630.4,9.2,24,2891,58,8,307,3.9,6500,600,Berlina ,1620,4643,1860,1438
28,Alfa Romeo,Alfa romeo - Giulietta,Giulietta 1.4 TB 120 Sport,120,5,Gasolina,ambar,"17,946 €",Tracción delantera ,Manual ,159,833.3,7.2,24,1368,60,6,195,9.4,5000,215,Berlina ,1280,4351,1798,1465
29,Alfa Romeo,Alfa romeo - Giulietta,Giulietta 1.6JTD Sport 120,120,5,Diesel,verde,"24,432 €",Tracción delantera ,Manual ,118,1276.6,4.7,24,1598,60,6,195,10,3750,320,Berlina ,1390,4351,1798,1465
30,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 Super RWD Aut. 160,160,5,Diesel,ambar,"35,633 €",Tracción trasera ,Automática secuencial ,138,1115.4,5.2,0,2143,58,8,198,8.8,3750,450,Todo Terreno ,1660,4687,1902,1632
31,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 Sprint RWD Aut. 160,160,5,Diesel,ambar,"39,417 €",Tracción trasera ,Automática secuencial ,138,1115.4,5.2,0,2143,58,8,198,8.8,3750,450,Todo Terreno ,1660,4687,1902,1632
32,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.0 Super Q4 Aut. 200,200,5,Gasolina,ambar,"39,519 €",Todo terreno tracción total permanente ,Automática secuencial ,160,914.3,7,0,1995,64,8,215,7.2,4500,330,Todo Terreno ,1660,4687,1903,1632
33,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 Sprint RWD 190 Aut.,190,5,Diesel,ambar,"41,617 €",Tracción trasera ,Automática secuencial ,138,1115.4,5.2,0,2143,58,8,210,7.6,3500,450,Todo Terreno ,1660,4687,1903,1632
34,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.0 Sprint Q4 Aut. 200,200,5,Gasolina,ambar,"43,478 €",Todo terreno tracción total permanente ,Automática secuencial ,160,914.3,7,0,1995,64,8,215,7.2,4500,330,Todo Terreno ,1660,4687,1903,1632
35,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 Sprint Q4 190 Aut.,190,5,Diesel,ambar,"44,038 €",Todo terreno tracción total permanente ,Automática secuencial ,146,1035.7,5.6,0,2143,58,8,210,7.6,3500,450,Todo Terreno ,1745,4687,1903,1632
36,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 Veloce Q4 210 Aut.,210,5,Diesel,ambar,"47,645 €",Todo terreno tracción total permanente ,Automática secuencial ,146,1035.7,5.6,0,2143,58,8,215,6.6,3500,470,Todo Terreno ,1745,4687,1903,1632
37,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.2 TI Q4 210 Aut.,210,5,Diesel,ambar,"48,261 €",Todo terreno tracción total permanente ,Automática secuencial ,146,1035.7,5.6,0,2143,58,8,215,6.6,3500,470,Todo Terreno ,1745,4687,1903,1632
38,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.0 Veloce Q4 Aut. 280,280,5,Gasolina,ambar,"50,762 €",Todo terreno tracción total permanente ,Automática secuencial ,158,914.3,7,0,1995,64,8,230,5.7,5250,400,Todo Terreno ,1660,4687,1903,1632
39,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.0 TI Q4 Aut. 280,280,5,Gasolina,ambar,"51,378 €",Todo terreno tracción total permanente ,Automática secuencial ,158,914.3,7,0,1995,64,8,230,5.7,5250,400,Todo Terreno ,1660,4687,1903,1632
40,Alfa Romeo,Alfa romeo - Stelvio,Stelvio 2.9 Bi-Turbo Q4 Quadrifoglio AT8,510,5,Gasolina,gris,"113,099 €",Todo terreno tracción total permanente ,Automática secuencial ,222,653.1,9.8,0,2891,64,8,283,3.8,6500,600,Todo Terreno ,1830,4687,1903,1671
41,Aston Martin,Aston martin - DB11,DB11 4.0 510,510,2,Gasolina,gris,"214,120 €",Tracción trasera ,Automática secuencial ,230,787.9,9.9,36,3982,78,8,300,3.9,6000,675,Coupe ,1770,4739,1940,1279
42,Aston Martin,Aston martin - DB11,DB11 Volante 4.0 510,510,2,Gasolina,gris,"231,573 €",Tracción trasera ,Automática secuencial ,230,787.9,9.9,36,3982,78,8,300,4.1,6000,685,Convertible ,0,4739,1940,1279
43,Aston Martin,Aston martin - DB11,DB11 5.2 608,608,2,Gasolina,gris,"254,389 €",Tracción trasera ,Automática secuencial ,265,684.2,11.4,36,5200,78,8,322,3.9,6500,700,Coupe ,1770,4739,1940,1279
44,Aston Martin,Aston martin - DBS,DBS Superleggera,725,2,Gasolina,gris,"320,760 €",Tracción trasera ,Automática secuencial ,285,0,12.3,24,5204,0,8,339,3.4,6500,900,Coupe ,1770,4712,1968,1280
45,Aston Martin,Aston martin - DBS,DBS Superleggera Volante,725,2,Gasolina,gris,"337,871 €",Tracción trasera ,Automática secuencial ,295,0,12.3,24,5204,0,8,340,3.6,6500,900,Coupe ,1870,4715,1970,1295
46,Aston Martin,Aston martin - DBX,DBX 4.0 AWD Aut.,550,5,Gasolina,gris,"221,015 €",Todo terreno tracción total permanente ,Automática secuencial ,269,0,0,24,3982,85,9,291,4.5,6500,700,Todo Terreno ,2245,5039,1998,1680
47,Aston Martin,Aston martin - Vantage,Vantage,510,2,Gasolina,gris,"170,882 €",Tracción trasera ,Automática secuencial ,245,695.2,10.5,36,3982,73,8,314,3.7,6000,685,Coupe ,1630,4465,1942,1273
48,Audi,Audi - A1,A1 Sportback 25 TFSI,95,5,Gasolina,verde,"21,182 €",Tracción delantera ,Manual ,107,869.6,4.6,24,999,40,5,191,10.8,5000,175,Berlina ,1165,4030,1740,1410
49,Audi,Audi - A1,A1 Sportback 30 TFSI,116,5,Gasolina,verde,"22,392 €",Tracción delantera ,Manual ,109,833.3,4.8,24,999,40,6,203,9.5,5000,200,Berlina ,1180,4030,1740,1410
50,Audi,Audi - A1,A1 Sportback 25 TFSI Advanced,95,5,Gasolina,verde,"22,586 €",Tracción delantera ,Manual ,107,869.6,4.6,24,999,40,5,191,10.8,5000,175,Berlina ,1165,4030,1740,1410
